occ_year,occ_hour,premises_type,age_cohort
2014,3,House,55 to 64
2014,15,Outside,35 to 44
2014,10,Apartment,55 to 64
2014,22,Apartment,25 to 34
2014,6,Apartment,18 to 24
2014,23,Apartment,25 to 34
2014,21,House,35 to 44
2014,10,Outside,18 to 24
2014,15,House,18 to 24
2014,14,Educational,18 to 24
2014,15,Other,35 to 44
2014,15,Apartment,25 to 34
2014,15,Outside,18 to 24
2014,10,Commercial,35 to 44
2014,10,Apartment,25 to 34
2014,13,Outside,Not Recorded
2014,21,Apartment,45 to 54
2014,12,Other,45 to 54
2014,11,Other,55 to 64
2014,23,Commercial,35 to 44
2014,13,Other,35 to 44
2014,14,Outside,55 to 64
2014,14,Other,18 to 24
2014,11,Apartment,65 and above
2014,13,Other,55 to 64
2014,12,Other,65 and above
2014,11,Other,35 to 44
2014,15,Apartment,25 to 34
2014,10,Apartment,65 and above
2014,16,Apartment,65 and above
2014,9,Outside,18 to 24
2014,19,House,18 to 24
2014,15,House,45 to 54
2014,14,Other,18 to 24
2014,22,Commercial,18 to 24
2014,9,Apartment,25 to 34
2014,9,Apartment,35 to 44
2014,16,Other,35 to 44
2014,10,Other,35 to 44
2014,22,Other,45 to 54
2014,21,Educational,35 to 44
2014,13,Other,25 to 34
2014,18,Other,18 to 24
2014,21,Apartment,25 to 34
2014,15,Apartment,45 to 54
2014,12,Other,65 and above
2014,15,Other,45 to 54
2014,10,Apartment,45 to 54
2014,8,Other,65 and above
2014,15,House,35 to 44
2014,16,Other,18 to 24
2014,20,Other,45 to 54
2014,18,Apartment,25 to 34
2014,18,House,18 to 24
2014,10,Other,35 to 44
2014,4,Apartment,35 to 44
2014,13,Other,35 to 44
2014,5,Apartment,25 to 34
2014,6,House,18 to 24
2014,3,House,25 to 34
2014,16,Other,35 to 44
2014,6,Apartment,45 to 54
2014,14,Apartment,55 to 64
2014,11,Apartment,25 to 34
2014,14,Apartment,18 to 24
2014,14,Commercial,55 to 64
2014,14,Apartment,45 to 54
2014,16,Apartment,55 to 64
2014,18,Commercial,25 to 34
2014,1,Outside,25 to 34
2014,16,Apartment,45 to 54
2014,9,Apartment,45 to 54
2014,4,House,18 to 24
2014,22,Other,45 to 54
2014,18,House,18 to 24
2014,14,Apartment,35 to 44
2014,17,Apartment,65 and above
2014,11,Other,65 and above
2014,11,Outside,35 to 44
2014,21,Apartment,55 to 64
2014,9,House,35 to 44
2014,20,House,25 to 34
2014,23,Apartment,25 to 34
2014,12,House,35 to 44
2014,19,House,35 to 44
2014,12,Educational,35 to 44
